source,original_prediction,post_processed,reference,original_sari,improved_sari,original_bleu,improved_bleu
"these works he produced and published himself, whilst his much larger woodcuts were mostly commissioned work.","these works he produced himself, while his much larger woodcuts were mostly commissioned work.","These works he produced himself, while his much larger woodcuts were mostly commissioned work.","these works he produced and published himself, whilst his much bigger woodcuts were mostly outsourced work.",17.106937370307488,17.106937370307488,25.655541222096613,18.480441989240546
the historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.,the historical method is the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.,The historical method is the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.,"in writing history, there is a method called the historical method which uses primary sources and other evidence to research the historical events.",52.51636379908631,52.51636379908631,31.20848453730729,28.345790698830037
"as of 2000, the population was 89, 148.","as of 2000, the population was 89, 148.","As of 2000, the population was 89, 148.","in the year 2000, the population was 89, 148.",62.58267195767196,62.58267195767196,71.77659214467671,71.77659214467671
aliteracy ( sometimes spelled alliteracy ) is the state of being able to read but being uninterested in doing so.,aliteracy is the state of being able to read but being uninterested in doing so.,Aliteracy is the state of being able to read but being uninterested in doing so.,aliteracy is being able to read but uninterested in read.,60.798946771691135,60.798946771691135,30.130404892785695,28.039501199940027
mifepristone is a synthetic steroid compound used as a pharmaceutical.,mifepristone is a synthetic steroid.,Mifepristone is a synthetic steroid.,pharmaceutical has used a mifepristone is a synthetic steroid,59.285714285714285,59.285714285714285,46.08636396914616,30.8198090959812
it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal.,"it will then dislodge itself and sink back to the river bed, to digest its food and wait for its next meal.","It will then dislodge itself and sink back to the river bed, to digest its food and wait for its next meal.",it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal.,30.56852869352869,30.56852869352869,84.82942955247805,80.53235963897195
"furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.","furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and cares about.","Furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and cares about.","furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.",39.51601498299125,39.51601498299125,87.98988959368486,84.57980831074703
"today, landis'father has become a hearty supporter of his son and regards himself as one of floyd's biggest fans.","today, landis'father is a hearty supporter of his son and regards himself as one of floyd's biggest fans.","Today, landis'father is a hearty supporter of his son and regards himself as one of floyd's biggest fans.",landis'father has become a supporter of his son and regards himself as one of floyd's biggest fans.,38.797333737823166,38.797333737823166,69.7080703419192,69.7080703419192
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 strength, the outer convection of the hurricane became ragged.","Shortly after reaching category 4 strength, the outer convection of the hurricane became ragged. status.","shortly after reaching category 4 status, the outer convection of the hurricane became worn out",57.35637408911066,59.85865441747794,67.39047062564734,53.989956849868726
the equilibrium price for a certain type of labor is the wage.,the price of a certain type of labor is the wage.,The price of a certain type of labor is the wage.,the balanced price for any kind of labor is called a wage.,40.112994350282484,40.112994350282484,16.40212036255558,16.40212036255558
"convinced that the grounds were haunted, they decided to publish their findings in a book an adventure ( 1911 ), under the pseudonyms of elizabeth morison and frances lamont.","convinced that the grounds were haunted, they decided to publish their findings in a book called elizabeth morison and frances lamont.","Convinced that the grounds were haunted, they decided to publish their findings in a book called elizabeth morison and frances lamont. 1911.","the authors, using pseudonyms elizabeth morison and frances lamont, published the book an adventure, in 1911, written about particular hauntings.",37.19838397469976,37.88364413364413,16.804984686722463,17.17218426146756
"he settled in london, devoting himself chiefly to practical teaching.","he settled in london, devoting himself mostly to practical teaching.","He settled in london, devoting himself mostly to practical teaching.",he teaches in london.,39.44444444444444,39.44444444444444,8.054496384843702,7.495553473355845
"brunstad has several fast food restaurants, a cafeteria - style restaurant, coffee bar, and its own grocery store.","brunstad has several fast food restaurants, a cafeteria, coffee bar, and its own grocery store.","Brunstad has several fast food restaurants, a cafeteria, coffee bar, and its own grocery store.","brunstad has many fast food restaurants, a cafeteria - style restaurant, coffee bar, and its own grocery shop.",24.08199587449895,24.08199587449895,56.38310643573385,54.43475072357774
"he left a detachment of 11, 000 troops to garrison the newly conquered region.","he left a detachment of 11, 000 troops to garrison the newly conquered region.","He left a detachment of 11, 000 troops to garrison the newly conquered region.","he left 11, 000 troops to garrison the newly conquered region.",69.06015856540594,69.06015856540594,69.67812829199794,66.68954865619207
"in 1438 trevi passed under the temporal rule of the church as part of the legation of perugia, and thenceforth its history merges first with that of the states of the church, then ( 1860 ) with the united kingdom of italy.","in 1438 trevi passed under the temporal rule of the church as part of the legation of perugia, and thenceforth its history merges first with that of the states of italy.","In 1438 trevi passed under the temporal rule of the church as part of the legation of perugia, and thenceforth its history merges first with that of the states of italy. 1860 the united kingdom.","in 1438 trevi passed under the time - limited rule of the church as part of the place for political statements of perugia, and thenceforth its history goes into together first with that of the states of the church, then ( 1860 ) with the united kingdom of italy",22.971543149363935,23.96821689083524,40.40614149401612,43.51587802750694
"the depression moved inland on the 20th as a circulation devoid of convection, and dissipated the next day over brazil, where it caused heavy rains and flooding.","the depression moved inland on the 20th as a circulation devoid of convection, and dissipated over brazil, where it caused heavy rains and flooding.","The depression moved inland on the 20th as a circulation devoid of convection, and dissipated over brazil, where it caused heavy rains and flooding. the next day.",on 20th depression moved inland as convection less circulation and after weakening over brazil it caused heavy rains and flooding.,50.770609673642376,50.089147286821714,30.996272724805532,26.78686072410767
the new york city housing authority police department was a law enforcement agency in new york city that existed from 1952 to 1995.,"the new york city housing authority police department was a law enforcement agency in new york, united states.","The new york city housing authority police department was a law enforcement agency in new york, united states. new york city 1952 to 1995.",the new york city housing authority police department was a law enforcement agency in new york city from 1952 to 1995.,44.05169782324954,56.556812050998104,71.91958755546909,64.93358309501976
"the current lineup of the band comprises flynn ( vocals, guitar ), duce ( bass ), phil demmel ( guitar ), and dave mcclain ( drums ).","the current lineup of the band is flynn, duce - lrb - guitar, guitar - rrb - and duce, phil demmel, and dave mcclain - drums.","The current lineup of the band is flynn, duce - lrb - guitar, guitar - rrb - and duce, phil demmel, and dave mcclain - drums.","the current lineup of the band comprises flynn ( vocals, guitar ), duce ( bass ), phil demmel ( guitar ), and dave mcclain ( drums )",17.68836013302574,17.68836013302574,30.7137308263447,26.56714911501991
advocacy countries with a minority muslim population are more likely than muslim - majority countries of the greater middle east to use mosques as a way to promote civic participation.,advocacy countries with a minority muslim population are more likely than muslim - majority countries of the greater middle east to use mosques.,Advocacy countries with a minority muslim population are more likely than muslim - majority countries of the greater middle east to use mosques. participation.,assisted countries with a little muslim population are more likely than muslim - majority countries of the greater middle east to use mosques as a way to promote public participation.,36.1248111080688,37.010236940230065,60.06405219554338,62.38687396038563
the characters are foul - mouthed extensions of their earlier characters pete and dud.,the characters are foul - mouthed extensions of their earlier characters pete and dud.,The characters are foul - mouthed extensions of their earlier characters pete and dud.,the characters speak bad language of their earlier characters pete and dud,53.74579124579125,53.74579124579125,44.28500142691474,41.374412020518825
"johan was also the original bassist of the swedish power metal band hammerfall, but quit before the band ever released a studio album.","johan was also the original bassist of hammerfall, but quit before the band ever released a studio album.","Johan was also the original bassist of hammerfall, but quit before the band ever released a studio album.","johan was also the original bassist of the swedish power metal band, hammerfall, but quit before the band ever released a studio album.",44.230569459228,44.230569459228,67.60409905684749,63.55426244976667
"in 1998, culver ran for iowa secretary of state and was victorious.","in 1998, culver ran for iowa secretary of state and was victorious.","In 1998, culver ran for iowa secretary of state and was victorious.","in 1998, culver successfully ran for iowa secretary of state.",57.01587301587302,57.01587301587302,54.45178846139407,45.72313446186435
"in 1990, mark messier took the hart over ray bourque by a margin of two votes, the difference being a single first - place vote.","in 1990, mark messier took the hart over ray bourque by a margin of two votes, the difference being a single first - place vote.","In 1990, mark messier took the hart over ray bourque by a margin of two votes, the difference being a single first - place vote.","in 1990 mark messier took hart over ray bourque by two votes, the difference being a first - place vote.",64.918780050359,64.918780050359,51.99085035777304,50.616701402614076
"shade sets the main plot of the novel in motion when he impetuously defies that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","shade sets the main plot of the novel in motion when he impets that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","Shade sets the main plot of the novel in motion when he impets that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.",the main plot of the novel is when shade defies the law and sets off a chain of events that lead to the destuction of his colony's home and becoming separated from them.,45.525205473785114,45.525205473785114,29.11155436753503,28.82750523862632
the female equivalent is a daughter.,the female equivalent of a daughter is a daughter.,The female equivalent of a daughter is a daughter.,the female equivalent is a daughter.,33.82575757575757,33.82575757575757,37.99178428257963,31.239399369202552
he was diagnosed with inoperable abdominal cancer in april 1999.,he was diagnosed with inoperable abdominal cancer in april 1999.,He was diagnosed with inoperable abdominal cancer in april 1999.,he was diagnosed with abdominal cancer in april 1999.,69.23280423280424,69.23280423280424,70.16879391277372,58.77283725105324
"prior to the arrival of the storm, the national park service closed visitor centers and campgrounds along the outer banks.","prior to the storm, the national park service closed visitor centers and campgrounds along the outer banks.","Prior to the storm, the national park service closed visitor centers and campgrounds along the outer banks.","before the arrival of the storm, the national park service closed visitor centers and campgrounds along the outer banks.",34.71931646517186,34.71931646517186,79.67702107791085,79.67702107791085
the form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,the form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,The form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,"the form of chess played is speed chess, in which each player has a total of twelve minutes for the whole game.",62.94943246162759,62.94943246162759,76.57333874751522,72.02093506938778
the amazon basin is the part of south america drained by the amazon river and its tributaries.,the amazon basin is the part of south america drained by the amazon river.,The amazon basin is the part of south america drained by the amazon river.,the amazon basin is the part of south america drained by the amazon river and those who pay tribute to it.,56.365777535366135,56.365777535366135,59.03987157780682,54.346147132531875
the two former presidents were later separately charged with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre.,the two former presidents were later charged with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre.,The two former presidents were later charged with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre.,"the two former presidents were later charged, each on their own, with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre.",70.67015241433846,70.67015241433846,72.36277649998269,68.87609707688173
moderate to severe damage extended up the atlantic coastline and as far inland as west virginia.,moderate to severe damage extended up the atlantic coastline and as far inland as west virginia.,Moderate to severe damage extended up the atlantic coastline and as far inland as west virginia.,there was moderate to severe damage all the way up the atlantic coastline and as far inland as west virginia.,63.52747909199522,63.52747909199522,65.45959733543216,60.26060185337682
"because the owner tends to be unaware, these computers are metaphorically compared to zombies.","because the owner tends to be unaware, these computers are metaphorically compared to zombies.","Because the owner tends to be unaware, these computers are metaphorically compared to zombies.",these computers are metaphorically compared to zombies as the owner was not concious about it,52.97226597042156,52.97226597042156,41.211837513230286,41.211837513230286
"the wave traveled across the atlantic, and organized into a tropical depression off the northern coast of haiti on september 13.",the wave moved across the atlantic ocean and organized into a tropical depression off the northern coast of haiti.,The wave moved across the atlantic ocean and organized into a tropical depression off the northern coast of haiti. september 13.,the wave traveled across the atlantic and organized into a tropical depression off the coast of haiti on september 13.,31.866966556063662,35.45166928782177,48.95888965390899,47.179913573365404
"for example, the stylebook of the associated press is updated annually.","for example, the stylebook of the associated press is updated annually.","For example, the stylebook of the associated press is updated annually.",the stylebook of the associated press is updated yearly.,57.578259373925,57.578259373925,57.60844201603898,57.60844201603898
"the four canonical texts are the gospel of matthew, gospel of mark, gospel of luke and gospel of john, probably written between ad 65 and 100 ( see also the gospel according to the hebrews ).","the four canonical texts are the gospel of matthew, gospel of mark, and gospel of john.","The four canonical texts are the gospel of matthew, gospel of mark, and gospel of john. 100.","gospels, matthew, mark, luke and john were most likey written after christ",37.24245349197333,36.95591594687532,6.336859268415405,5.684653076227407
since the end of the 19th century eschelbronn is well known for its furniture manufacturing industry.,since the end of the 19th century eschelbronn is well known for its furniture manufacturing.,Since the end of the 19th century eschelbronn is well known for its furniture manufacturing.,since the end of the 19th century eschelbronn is well known for its furniture making business.,65.3750161956059,65.3750161956059,82.30724650381231,75.7637442126685
the upper half also resembles the coat of arms of the former district oberbarnim.,the upper half also resembles the coat of arms of the former district oberbarnim.,The upper half also resembles the coat of arms of the former district oberbarnim.,"the former district oberbarnim, also resembles the upper half of the coat of arms.",56.64411027568922,56.64411027568922,46.38497841458681,42.53467024029707
"unlike the clouds on earth, however, which are composed of crystals of ice, neptune's cirrus clouds are made up of crystals of frozen methane.","unlike the clouds on earth, however, neptune's cirrus clouds are made up of crystals of frozen methane.","Unlike the clouds on earth, however, neptune's cirrus clouds are made up of crystals of frozen methane.","unlike the clouds on earth, however, which are composed of crystals of ice, neptune's cirrus clouds are made up of crystals of frozen methane.",43.334316368947306,43.334316368947306,64.04524564548512,60.39131447690444
"finally in 1482 the order dispatched him to florence, the ‘ city of his destiny ’.","finally in 1482 the order dispatched him to florence, the capital city of his destiny.","Finally in 1482 the order dispatched him to florence, the capital city of his destiny.",in 1482 the order dispatched him to florence.,57.02976935455033,57.02976935455033,42.649937722961525,42.649937722961525
"in the soviet years, the bolsheviks demolished two of rostov's principal landmarks - st alexander nevsky cathedral ( 1908 ) and st george cathedral in nakhichevan ( 1783 - 1807 ).","in the soviet years, the bolsheviks demolished two of rostov's principal landmarks - st alexander nevsky cathedral - lrb - 1908 - 1807 - rrb - and st george cathedral in nakhichevan.","In the soviet years, the bolsheviks demolished two of rostov's principal landmarks - st alexander nevsky cathedral - lrb - 1908 - 1807 - rrb - and st george cathedral in nakhichevan. 1908 st george 1783 - 1807.","in the soviet years, the bolsheviks demolished two of rostov's principal like st alexander nevsky cathedral ( 1908 ) and st george cathedral in nakhichevan ( 1783 - 1807 ).",24.490641052154416,25.070394664646052,55.83294517400156,45.019755305338556
"he died on may 29, 1518 in madrid, spain and was buried in the church of san benito d'alcantara.","he died on may 29, 1518 in madrid, spain.","He died on may 29, 1518 in madrid, spain. the church of.","he died on may 29, 1518 in madrid, spain. it was buried in the church of san benito d ` alcantara.",43.65420073753407,46.09809092567714,33.84654251067423,43.174699103320336
this was demonstrated in the miller - urey experiment by stanley l. miller and harold c. urey in 1953.,this was demonstrated in the miller - urey experiment by stanley l. miller and harold c. urey in 1953.,This was demonstrated in the miller - urey experiment by stanley l. miller and harold c. urey in 1953.,this was shown in the miller - urey experiment by stanley l. miller and harold c. urey in 1953.,64.60751335751335,64.60751335751335,88.6704794791872,86.41944207171434
"cogeneration ( also combined heat and power, chp ) is the use of a heat engine or a power station to simultaneously generate both electricity and useful heat.",cogeneration - lrb - also combined heat and power - rrb - is the use of a heat engine or a power station to create both electricity and useful heat.,Cogeneration - lrb - also combined heat and power - rrb - is the use of a heat engine or a power station to create both electricity and useful heat.,cogeneration is a combination of heart and power to simultaneously generate both electricity and useful heat.,37.87740256731507,37.87740256731507,18.76329979807829,18.391565202644333
"on occasion the male "" den master "" will also allow a second male into the den ; the reason for this is unclear.",on occasion the male ` den master'will also allow a second male into the den ; the reason for this is unclear.,On occasion the male ` den master'will also allow a second male into the den ; the reason for this is unclear.,"on opportunity the male "" den master "" will let a second male inside of the den ; the basis for this is poorly explained.",21.70816699237898,21.70816699237898,19.134329623447524,18.807126484684236
a wikipedia gadget is a javascript and / or a css snippet that can be enabled simply by checking an option in your wikipedia preferences.,a wikipedia gadget is a javascript and css snippet that can be enabled simply by checking an option in your wikipedia preferences.,A wikipedia gadget is a javascript and css snippet that can be enabled simply by checking an option in your wikipedia preferences.,a wikipedia gadget is a javascript and / or a css snippet that can be enabled simply by checking an option in your wikipedia preferences.,38.21283265581258,38.21283265581258,81.24382371108975,77.12838414761663
below are some useful links to facilitate your involvement.,below are some useful links to facilitate your involvement.,Below are some useful links to facilitate your involvement.,below are some useful links to help your involvement.,59.92999325236168,59.92999325236168,65.80370064762461,52.53819788848316
he served as the prime minister of egypt between 1945 and 1946 and again from 1946 and 1948.,he served as prime minister of egypt between 1945 and 1946 and again from 1946 and 1948.,He served as prime minister of egypt between 1945 and 1946 and again from 1946 and 1948.,he served as prime minster of egypt from 1945 and 1946 as well as from 1946 through 1948.,51.13916677849546,51.13916677849546,24.15060474682166,17.39639192036665
she was left behind ( explanations for this vary ) when the rest of the nicolenos were moved to the mainland.,"she was left behind, explanations for the nicolenos were moved to the mainland.","She was left behind, explanations for the nicolenos were moved to the mainland.",people have different thinking about why she was left behind when the nicolenos were moved to the main part of the country.,55.178606483818506,55.178606483818506,29.560636530892186,24.822048955078152
"james i appointed him a gentleman of the chapel royal, where he served as an organist from at least 1615 until his death.","james i appointed him a gentleman of the chapel royal, where he served as an organist from around 1615 until his death.","James i appointed him a gentleman of the chapel royal, where he served as an organist from around 1615 until his death. at least 1615.","james i made him a gentleman of the chapel royal, where he served as an organist from at least 1615 until his death.",28.484847844075944,37.83919123204838,74.66468002886297,68.70287465920563
chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,chauvin was embarrassed to receive his award and initially said that he may not accept it.,Chauvin was embarrassed to receive his award and initially said that he may not accept it.,chauvin was embarrassed to get his award and at first said that he may not accept it.,68.78896103896103,68.78896103896103,60.558175509559135,54.03204364769616
"later, esperanto speakers began to see the language and the culture that had grown up around it as ends in themselves, even if esperanto is never adopted by the united nations or other international organizations.",esperanto is a language that is spoken in the united states. it is the language of the world.,Esperanto is a language that is spoken in the united states. it is the language of the world. the united nations or speakers.,"later, esperanto speakers started to see the language and culture that had grown up around it as ends in themselves, though esperanto is never accepted by the united nations of other international organizations.",20.510580424640423,21.787443040975138,3.4677209875560986,5.728866190046518
dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on september 12.,dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on september 12.,Dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on september 12.,"early september 12, dry air wrapping around the southern area of the cyclone caused most of the heat to leave.",51.395461578651236,51.395461578651236,35.78835436145691,29.61263469012005
calvin baker is an american novelist.,"calvin baker - lrb - born calvin baker, usa - rrb - is an american novelist.","Calvin baker - lrb - born calvin baker, usa - rrb - is an american novelist.",calvin baker is an american novelist.,36.0479797979798,36.0479797979798,23.124463019346486,23.124463019346486
"eva anna paula braun, died eva anna paula hitler ( 6 february 1912 – 30 april 1945 ) was the longtime companion and, for a brief time, wife of adolf hitler.",eva anna paula paula hitler - lrb - 6 february 1912 a ` ` 30 april 1945 - rrb - was the wife of adolf hitler.,Eva anna paula paula hitler - lrb - 6 february 1912 a ` ` 30 april 1945 - rrb - was the wife of adolf hitler. anna paula anna paula 6 february 1912 30 april 1945 adolf hitler braun.,"eva anna paula braun, died eva anna paula hitler ( 6 february 1912 – 30 april 1945 ) was the longtime companion and, for a brief time, wife of adolf hitler.",13.75651833878603,14.404423798979494,21.109458170391836,17.726777658225775
each version of the license is given a distinguishing version number.,each version of the license is given a distinguishing version number.,Each version of the license is given a distinguishing version number.,each license is given a number.,57.03703703703703,57.03703703703703,26.20251007173262,25.211936184349828
most irc servers do not require users to register an account but a user will have to set a nickname before being connected.,most irc servers do not require users to register an account but a user will have to set a nickname before being connected.,Most irc servers do not require users to register an account but a user will have to set a nickname before being connected.,most irc servers only require a user to set a nickname.,44.56563997943308,44.56563997943308,16.692486522015724,14.071964689317516
"that same year he also received a mechanics certificate, becoming the youngest certificated airplane mechanic in new york.","that same year he also received a mechanics certificate, becoming the youngest airplaned airplane mechanic in new york.","That same year he also received a mechanics certificate, becoming the youngest airplaned airplane mechanic in new york.","that same year he also got a mechanics certificate, becoming the youngest certificated airplane mechanic in new york.",27.683575454473285,27.683575454473285,70.76534431960266,65.14613449066714
"summerslam ( 2009 ) is an upcoming professional wrestling pay - per - view event produced by world wrestling entertainment ( wwe ), which will take place on august 23, 2009 at staples center in los angeles, california.","summerslam is an upcoming professional wrestling pay - per - view event made by world wrestling entertainment - lrb - wwe - rrb -, which will take place on august 23, 2009 at staples center in los angeles, california.","Summerslam is an upcoming professional wrestling pay - per - view event made by world wrestling entertainment - lrb - wwe - rrb -, which will take place on august 23, 2009 at staples center in los angeles, california. 2009.","summerslam ( 2009 ) is an upcoming professional wrestling pay - per - view event produced by world wrestling entertainment ( wwe ), which will take place on august 23, 2009 at staples center in los angeles, california.",28.241395382939498,28.354994863627585,71.66385397188644,68.3667326171267
"usually portrayed as being bald, with long whiskers, he is said to be an incarnation of the southern polestar.","he is usually seen as being bald, with long whiskers, and is said to be an incarnation of the southern poles.","He is usually seen as being bald, with long whiskers, and is said to be an incarnation of the southern poles.","usually portrayed as being bald, with long whiskers, he is said to be an incarnation of the southern polestar.",27.820482820482823,27.820482820482823,65.08430035585083,63.226619322017804
"a few animals have chromatic response, changing color in changing environments, either seasonally ( ermine, snowshoe hare ) or far more rapidly with chromatophores in their integument ( the cephalopod family ).","a few animals have chromatic response, changing color in changing environments, either seasonally or far more rapidly with chromatophores in their integument.","A few animals have chromatic response, changing color in changing environments, either seasonally or far more rapidly with chromatophores in their integument. hare.","some animals change color when their environments change, a process called chromatic response, either seasonally, as with ermine and snowshoe hare, or far more rapidly with chromoa tophonres in theri integument ( the cephalapod family. )",39.46883138488978,39.90417571253944,14.026101803988562,14.593150957099652
val venis defeated rikishi in a steel cage match to retain the wwf intercontinental championship ( 14 : 10 ) venis pinned rikishi after tazz hit rikishi with a tv camera.,val venis defeated rikishi in a steel cage match to win the wwf intercontinental championship.,Val venis defeated rikishi in a steel cage match to win the wwf intercontinental championship. 14 10 tazz.,"val venis defeated rikishi in a steel cage match to keep is wwf intercontinental championship, venis pinned rikishi after tazz hit rikishi with a t. v camera.",42.437704839020626,41.966474680290474,28.61784904331401,30.255868739313065
this closely resembles the unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.,this closely resembles the unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.,This closely resembles the unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.,this looks like the unix idea of having several programs with each doing one thing and working together.,46.988727858293075,46.988727858293075,20.2292806480005,19.857943409196785
"he came from a musical family ; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","His mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his was a musical family, as his mother, larue, was a secretary and singer, while his father, keith brion, was a band director at yale.",52.6032511347121,52.6032511347121,55.70253908948036,52.3909368010113
"the largest populations of mennonites are in canada, democratic republic of congo and the united states, but mennonites can also be found in tight - knit communities in at least 51 countries on six continents or scattered amongst the populace of those countries.","the largest populations of mennonites are in canada, democratic republic of congo and the united states. they are also found in at least 51 countries on six continents.","The largest populations of mennonites are in canada, democratic republic of congo and the united states. they are also found in at least 51 countries on six continents.","the largest populations of mennonites are in canada, democratic republic of congo and the united states. mennonites also live in close communities in at least 51 countries on six continents, or scattered throughout the populations of those countries.",57.151858258182486,57.151858258182486,55.47422572827067,53.07645225005374
"naas is a major "" dublin suburb "" town, with many people living in naas and working in dublin.","naas is a town in naas county, dublin, ireland.","Naas is a town in naas county, dublin, ireland.","naas is a great "" dublin suburb "" town, with many people living in naas and working in dublin.",13.512466986097818,13.512466986097818,8.672782808403323,5.380622548958191
"acanthopholis's armour consisted of oval plates set almost horizontally into the skin, with spikes protruding from the neck and shoulder area, along the spine.","acanthopholis's armor consisted of oval plates set horizontally into the skin, with spikes protruding from the neck and shoulder area, along the spine.","Acanthopholis's armor consisted of oval plates set horizontally into the skin, with spikes protruding from the neck and shoulder area, along the spine. armour.","acanthopholis's armour was made up of oval plates that were put into the skin lengthwise and had spikes that jutted out from the neck and shoulder area, across the spine.",47.32407738291156,51.7185188229492,29.577810370239618,29.853831378324355
"origin irmo was chartered on christmas eve in 1890 in response to the opening of the columbia, newberry and laurens railroad.","origin irmo was chartered on christmas eve, in response to the opening of the columbia and laurens railroad.","Origin irmo was chartered on christmas eve, in response to the opening of the columbia and laurens railroad. christmas eve in 1890.","origin irmo was rented on christmas eve in 1890 in response to the opening of the columbia, newberry and laurens railway line.",22.081746985213112,24.49583375563971,42.74578366371661,45.78226095312775
"conversely, bills proposed by the law commission, and consolidation bills, start in the house of lords.","conversely, bills proposed by the law commission, and consolidation bills start in the house of lords.","Conversely, bills proposed by the law commission, and consolidation bills start in the house of lords.",the bills proposed by the law commission and consolidation bills start in the house of lords contrarily.,70.16896887813404,70.16896887813404,68.59238121837059,68.59238121837059
"in the years before his final release in 1474, when he began preparations for the reconquest of wallachia, vlad resided with his new wife in a house in the hungarian capital.","in the years before his final release in 1474, vlad resided with his new wife in a house in the hungarian capital.","In the years before his final release in 1474, vlad resided with his new wife in a house in the hungarian capital. preparations.","in the years before his final release in 1474, when he began preparations for the reconquest of wallachia, vlad resided with his new wife in a house in the hungarian capital.",43.345563404281684,35.17782523946579,63.55163027783021,62.717960300432296
"you may add a passage of up to five words as a front - cover text, and a passage of up to 25 words as a back - cover text, to the end of the list of cover texts in the modified version.","you may add a passage of up to five words as a front - cover text, and a passage in the end of the list of cover texts in the modified version.","You may add a passage of up to five words as a front - cover text, and a passage in the end of the list of cover texts in the modified version. up to 25.",you may add a passage of up to five words as a front - cover text and a passage of up to 25 words as a back - cover text to the end of the list of cover texts.,37.13704729659448,38.42798520204344,57.93605680183315,59.15422911679482
"he is interred in the restvale cemetery in alsip, illinois.","he is buried in alsip, illinois.","He is buried in alsip, illinois.",he is interred in restvale cemetery in alsip illinois.,24.0172735760971,24.0172735760971,14.898573527259417,12.862534787413374
bone marrow is the flexible tissue found in the hollow interior of bones.,bone marrow is a tissue found in the hollow inside of bones.,Bone marrow is a tissue found in the hollow inside of bones.,bone marrow is the flexible tissue found in the hollow insides of bones.,37.698760790866054,37.698760790866054,44.06401630925027,39.355951621009716
reflection nebulae are usually blue because the scattering is more efficient for blue light than red ( this is the same scattering process that gives us blue skies and red sunsets ).,reflection nebulae are usually blue because the scattering is more efficient for blue light than red.,Reflection nebulae are usually blue because the scattering is more efficient for blue light than red. skies.,reflection nebulae are commonly blue because the scattering is more powerful for blue light than red ( this is the same reason for the sky appears in blue and the sunset in red colors,41.71604308052244,41.2446347334686,21.081603768242353,21.354530721145615
"monteux is a commune of the vaucluse departement in southern france, in the area provence - alpes - cote d'azur.",monteux is a commune. it is found in the region provence - alpes - maritimes in the vaucluse department in the south of france.,Monteux is a commune. it is found in the region provence - alpes - maritimes in the vaucluse department in the south of france.,"monteux is a commune of the vaucluse departement in southern france, in the area provence - alpes - cote d'azur.",15.98032437415378,15.98032437415378,23.11329597083337,17.21331553634764
"macgruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something ( usually involving his personal life ) that makes him run out of time.","macgruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something involving his personal life.","Macgruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something involving his personal life.",macgruber asked for many items to help shut the bomb off but he was distracted and ran out of time.,32.072620775450964,32.072620775450964,5.004175368982553,4.8589719316429765
"this was substantially complete when messiaen died, and yvonne loriod undertook the final movement's orchestration with advice from george benjamin.","this was substantially complete when messiaen died, and yvonne loriod did the orchestra's orchestration with advice from george benjamin.","This was substantially complete when messiaen died, and yvonne loriod did the orchestra's orchestration with advice from george benjamin.","this was substantially complete when messiaen died, and yvonne loriod undertook the final movement's of orchestration with advice from george benjamin.",37.581381468576595,37.581381468576595,70.20458686590516,65.4628218389212
